asset_id,t_index,state_value
BAT000001,1524.0,65.54
BAT000002,1072.0,
BAT000003,807.0,99.99
BAT000004,681.0,85.96
BAT000005,476.0,69.85
BAT000006,1931.0,93.01
BAT000007,572.0,58.0
BAT000008,445.0,91.15
BAT000009,975.0,88.92
BAT000010,1470.0,72.73
BAT000011,789.0,92.09
BAT000012,134.0,68.29
BAT000013,489.0,56.02
BAT000014,399.0,89.67
BAT000015,878.0,73.72
BAT000016,888.0,84.03
BAT000017,173.0,102.31
BAT000018,444.0,64.17
BAT000019,892.0,72.85
BAT000020,166.0,98.54
BAT000021,632.0,85.03
BAT000022,622.0,64.5
BAT000023,476.0,
BAT000024,499.0,67.08
BAT000025,1150.0,63.92
BAT000026,469.0,78.56
BAT000027,555.0,76.18
BAT000028,890.0,79.19
BAT000029,640.0,
BAT000030,598.0,73.94
BAT000031,671.0,44.16
BAT000032,648.0,77.18
BAT000033,1271.0,92.63
BAT000034,454.0,53.63
BAT000035,,82.25
BAT000036,1232.0,65.83
BAT000037,583.0,87.04
BAT000038,958.0,77.38
BAT000039,392.0,81.07
BAT000040,356.0,75.97
BAT000041,69.0,94.92
BAT000042,996.0,80.21
BAT000043,771.0,64.42
BAT000044,893.0,76.48
BAT000045,382.0,69.47
BAT000046,535.0,77.44
BAT000047,502.0,68.7
BAT000048,1706.0,
BAT000049,928.0,77.99
BAT000050,505.0,75.84
BAT000051,687.0,90.96
BAT000052,,68.78
BAT000053,714.0,45.29
BAT000054,1093.0,69.54
BAT000055,835.0,50.6
BAT000056,748.0,81.24
BAT000057,907.0,49.89
BAT000058,666.0,60.17
BAT000059,654.0,69.56
BAT000060,1415.0,98.16
BAT000061,539.0,58.91
BAT000062,1760.0,75.19
BAT000063,277.0,83.7
BAT000064,,97.26
BAT000065,855.0,86.67
BAT000066,750.0,91.41
BAT000067,326.0,87.96
BAT000068,958.0,56.86
BAT000069,1079.0,80.4
BAT000070,1149.0,87.73
BAT000071,447.0,60.65
BAT000072,347.0,66.3
BAT000073,50.0,62.95
BAT000074,449.0,86.59
BAT000075,956.0,73.96
BAT000076,670.0,70.19
BAT000077,846.0,55.77
BAT000078,1730.0,73.99
BAT000079,651.0,66.49
BAT000080,1368.0,78.65
BAT000081,343.0,57.86
BAT000082,1454.0,77.67
BAT000083,556.0,68.42
BAT000084,1293.0,56.26
BAT000085,747.0,55.09
BAT000086,810.0,57.34
BAT000087,714.0,71.9
BAT000088,1230.0,76.81
BAT000089,683.0,79.05
BAT000090,1054.0,79.61
BAT000091,171.0,63.62
BAT000092,708.0,90.88
BAT000093,512.0,68.37
BAT000094,557.0,81.75
BAT000095,,72.54
BAT000096,633.0,80.63
BAT000097,1393.0,71.79
BAT000098,820.0,80.9
BAT000099,50.0,74.89
BAT000100,533.0,87.21
BAT000101,722.0,62.72
BAT000102,560.0,48.45
BAT000103,1100.0,60.4
BAT000104,957.0,91.03
BAT000105,366.0,72.68
BAT000106,792.0,76.38
BAT000107,,59.2
BAT000108,282.0,75.98
BAT000109,340.0,59.66
BAT000110,,61.86
BAT000111,720.0,68.96
BAT000112,277.0,81.68
BAT000113,1400.0,83.28
BAT000114,338.0,83.69
BAT000115,,51.18
BAT000116,960.0,74.9
BAT000117,514.0,72.05
BAT000118,1166.0,52.02
BAT000119,418.0,75.24
BAT000120,736.0,71.24
BAT000121,748.0,82.67
BAT000122,1257.0,76.22
BAT000123,618.0,66.76
